iter	Logloss
0	0.6732005563
1	0.6546617241
2	0.6375893743
3	0.6216564803
4	0.6068659651
5	0.5950772392
6	0.5822492382
7	0.5683451141
8	0.5592662716
9	0.5504791135
10	0.5423715632
11	0.5335510116
12	0.5263790568
13	0.5185165993
14	0.5123162911
15	0.5055176888
16	0.5002233029
17	0.4930582129
18	0.488575326
19	0.4840826956
20	0.4798662486
21	0.4759726208
22	0.4723418899
23	0.4693577718
24	0.4646832483
25	0.4612491585
26	0.456960034
27	0.4531012613
28	0.4502944303
29	0.4482347027
30	0.4464122732
31	0.4447016723
32	0.4431150794
33	0.4415521365
34	0.4394578196
35	0.4369046733
36	0.4351266652
37	0.4335250142
38	0.4314970415
39	0.4304596266
40	0.4285679741
41	0.4276098356
42	0.4267238432
43	0.4251524412
44	0.424389881
45	0.4237244898
46	0.422717191
47	0.4220250496
48	0.421123069
49	0.4199557557
50	0.4194090136
51	0.4183944072
52	0.4173736891
53	0.4169263304
54	0.4160210282
55	0.4156067531
56	0.4147931725
57	0.4144184914
58	0.4137002197
59	0.4127379181
60	0.4124054882
61	0.4120738113
62	0.4118118445
63	0.4116088258
64	0.411346549
65	0.4108049001
66	0.4103073625
67	0.4100842368
68	0.4094162769
69	0.4092435959
70	0.4090852643
71	0.4088497821
72	0.4085098232
73	0.4083704471
74	0.4079109977
75	0.4077103706
76	0.4075986306
77	0.4073073891
78	0.4070265111
79	0.406759584
80	0.4066531144
81	0.4063297637
82	0.4062406108
83	0.4061456562
84	0.4060637224
85	0.4059699192
86	0.4057701336
87	0.4056636196
88	0.4055833688
89	0.4054992205
90	0.4052499203
91	0.4051650191
92	0.4050817124
93	0.4049454365
94	0.4048005687
95	0.404606452
96	0.4044204843
97	0.4043121103
98	0.4042018318
99	0.4040501878
100	0.4040092652
101	0.4039710441
102	0.4039359676
103	0.4039041241
104	0.4037402565
105	0.4037080145
106	0.4036754181
107	0.4036461434
108	0.4035270514
109	0.4034993268
110	0.4034720008
111	0.4034481293
112	0.4033365221
113	0.4033110562
114	0.4032125142
115	0.4031911671
116	0.4031685799
117	0.4031473214
118	0.4031274802
119	0.4031063102
120	0.4029919572
121	0.4029662698
122	0.4029458971
123	0.402930219
124	0.4028911565
125	0.4028146259
126	0.4028000106
127	0.4027857497
128	0.4027692744
129	0.4027531533
130	0.4027399111
131	0.4027037716
132	0.4026892007
133	0.4026771542
134	0.402663159
135	0.4025958404
136	0.402585034
137	0.4025745819
138	0.4025628012
139	0.402553102
140	0.4025383982
141	0.4025266617
142	0.4024928253
143	0.4024840561
144	0.4024738698
145	0.4024617347
146	0.4024493339
147	0.4024359588
148	0.4024246652
149	0.4024151431
150	0.4023405612
151	0.4023310835
152	0.4023191699
153	0.4022523384
154	0.4022430378
155	0.4022331172
156	0.4022234623
157	0.4022154904
158	0.40221053
159	0.4021848427
160	0.402176605
161	0.4021671273
162	0.4021586239
163	0.4021512277
164	0.4021417942
165	0.4020995429
166	0.4020900652
167	0.4020827133
168	0.4020736341
169	0.4020671237
170	0.4020610119
171	0.402055963
172	0.4020506041
173	0.4020437394
174	0.4020032596
175	0.4019968821
176	0.4019897959
177	0.4019834627
178	0.4019763322
179	0.4019673859
180	0.4019602112
181	0.4019516192
182	0.4019450645
183	0.4019393955
184	0.4019317779
